"","date","djia","nasdaqcom","btc","sp500","rate"
"234",2015-08-10,17615.17,5101.8,264.470001,2104.18,0.14
"235",2015-08-11,17402.84,5036.79,270.385986,2084.07,0.15
"236",2015-08-12,17402.51,5044.39,266.376007,2086.05,0.15
"237",2015-08-13,17408.25,5033.56,264.079987,2083.39,0.15
"238",2015-08-14,17477.4,5048.24,265.679993,2091.54,0.14
"239",2015-08-17,17545.18,5091.7,257.976013,2102.44,0.15
"240",2015-08-18,17511.34,5059.35,211.078995,2096.92,0.15
"241",2015-08-19,17348.73,5019.05,226.684006,2079.61,0.15
"242",2015-08-20,16990.69,4877.49,235.350006,2035.73,0.15
"243",2015-08-21,16459.75,4706.04,232.569,1970.89,0.15
"244",2015-08-24,15871.35,4526.25,210.494995,1893.21,0.15
"245",2015-08-25,15666.44,4506.49,221.608994,1867.61,0.15
"246",2015-08-26,16285.51,4697.54,225.830994,1940.51,0.14
"247",2015-08-27,16654.77,4812.71,224.768997,1987.66,0.14
"248",2015-08-28,16643.01,4828.32,231.395996,1988.87,0.14
"249",2015-08-31,16528.03,4776.51,230.056,1972.18,0.08
"250",2015-09-01,16058.35,4636.11,228.121002,1913.85,0.14
"251",2015-09-02,16351.38,4749.98,229.283997,1948.86,0.14
"252",2015-09-03,16374.76,4733.5,227.182999,1951.13,0.14
"253",2015-09-04,16102.38,4683.92,230.298004,1921.22,0.14
"254",2015-09-07,NA,NA,239.847,NA,NA
"255",2015-09-08,16492.68,4811.93,243.606995,1969.41,0.14
"256",2015-09-09,16253.57,4756.53,238.167999,1942.04,0.14
"257",2015-09-10,16330.4,4796.25,238.477005,1952.29,0.14
"258",2015-09-11,16433.09,4822.34,240.106995,1961.05,0.14
"259",2015-09-14,16370.96,4805.76,230.643997,1953.03,0.14
"260",2015-09-15,16599.85,4860.52,230.304001,1978.09,0.14
"261",2015-09-16,16739.95,4889.24,229.091003,1995.31,0.14
"262",2015-09-17,16674.74,4893.95,229.809998,1990.2,0.14
"263",2015-09-18,16384.58,4827.23,232.975006,1958.03,0.14
"264",2015-09-21,16510.19,4828.95,227.085007,1966.97,0.14
"265",2015-09-22,16330.47,4756.72,230.617996,1942.74,0.14
"266",2015-09-23,16279.89,4752.74,230.283005,1938.76,0.14
"267",2015-09-24,16201.32,4734.48,234.529007,1932.24,0.14
"268",2015-09-25,16314.67,4686.5,235.143997,1931.34,0.13
"269",2015-09-28,16001.89,4543.97,239.141998,1881.77,0.13
"270",2015-09-29,16049.13,4517.32,236.686996,1884.09,0.13
"271",2015-09-30,16284.7,4620.16,236.059998,1920.03,0.07
"272",2015-10-01,16272.01,4627.08,237.548996,1923.82,0.13
"273",2015-10-02,16472.37,4707.78,237.292999,1951.36,0.13
"274",2015-10-05,16776.43,4781.26,240.382996,1987.05,0.13
"275",2015-10-06,16790.19,4748.36,246.063004,1979.92,0.13
"276",2015-10-07,16912.29,4791.15,242.968994,1995.83,0.13
"277",2015-10-08,17050.75,4810.79,242.304001,2013.43,0.13
"278",2015-10-09,17084.49,4830.47,243.931,2014.89,0.13
"279",2015-10-12,17131.86,4838.64,245.307999,2017.46,NA
"280",2015-10-13,17081.89,4796.61,249.507996,2003.69,0.13
"281",2015-10-14,16924.75,4782.85,251.988998,1994.24,0.13
"282",2015-10-15,17141.75,4870.1,254.320007,2023.86,0.13
"283",2015-10-16,17215.97,4886.69,262.868988,2033.11,0.13
"284",2015-10-19,17230.54,4905.47,263.437012,2033.66,0.13
"285",2015-10-20,17217.11,4880.97,269.463013,2030.77,0.13
"286",2015-10-21,17168.61,4840.12,266.272003,2018.94,0.13
"287",2015-10-22,17489.16,4920.05,274.02301,2052.51,0.12
"288",2015-10-23,17646.7,5031.86,276.496002,2075.15,0.12
"289",2015-10-26,17623.05,5034.7,285.299988,2071.18,0.12
"290",2015-10-27,17581.43,5030.15,293.787994,2065.89,0.12
"291",2015-10-28,17779.52,5095.69,304.618011,2090.35,0.12
"292",2015-10-29,17755.8,5074.27,313.855011,2089.41,0.12
"293",2015-10-30,17663.54,5053.75,328.015015,2079.36,0.07
"294",2015-11-02,17828.76,5127.15,361.188995,2104.05,0.12
"295",2015-11-03,17918.15,5145.13,403.416992,2109.79,0.12
"296",2015-11-04,17867.58,5142.48,411.562988,2102.31,0.12
"297",2015-11-05,17863.43,5127.74,386.354004,2099.93,0.12
"298",2015-11-06,17910.33,5147.12,374.470001,2099.2,0.12
"299",2015-11-09,17730.48,5095.3,380.256989,2078.58,0.12
"300",2015-11-10,17758.21,5083.24,336.819,2081.72,0.12
"301",2015-11-11,17702.22,5067.02,311.084015,2075,NA
"302",2015-11-12,17448.07,5005.08,338.152008,2045.97,0.12
"303",2015-11-13,17245.24,4927.88,336.752991,2023.04,0.12
"304",2015-11-16,17483.01,4984.62,330.751007,2053.19,0.13
"305",2015-11-17,17489.5,4986.01,335.093994,2050.44,0.13
"306",2015-11-18,17737.16,5075.2,334.589996,2083.58,0.12
"307",2015-11-19,17732.75,5073.64,326.148987,2081.24,0.12
"308",2015-11-20,17823.81,5104.92,322.022003,2089.17,0.12
"309",2015-11-23,17792.68,5102.48,323.04599,2086.59,0.12
"310",2015-11-24,17812.19,5102.81,320.04599,2089.14,0.12
"311",2015-11-25,17813.39,5116.14,328.205994,2088.87,0.12
"312",2015-11-26,NA,NA,352.68399,NA,NA
"313",2015-11-27,17798.49,5127.52,358.041992,2090.11,0.12
"314",2015-11-30,17719.92,5108.67,377.321014,2080.41,0.08
"315",2015-12-01,17888.35,5156.31,362.488007,2102.63,0.13
"316",2015-12-02,17729.68,5123.22,359.187012,2079.51,0.13
"317",2015-12-03,17477.67,5037.53,361.04599,2049.62,0.13
"318",2015-12-04,17847.63,5142.27,363.183014,2091.69,0.13
"319",2015-12-07,17730.51,5101.81,395.536011,2077.07,0.13
"320",2015-12-08,17568,5098.24,415.562988,2063.59,0.13
"321",2015-12-09,17492.3,5022.87,417.562988,2047.62,0.14
"322",2015-12-10,17574.75,5045.17,415.479004,2052.23,0.14
"323",2015-12-11,17265.21,4933.47,451.937988,2012.37,0.14
"324",2015-12-14,17368.5,4952.23,444.182007,2021.94,0.15
"325",2015-12-15,17524.91,4995.36,465.321014,2043.41,0.15
"326",2015-12-16,17749.09,5071.13,454.93399,2073.07,0.15
"327",2015-12-17,17495.84,5002.55,456.078003,2041.89,0.37
"328",2015-12-18,17128.55,4923.08,463.615997,2005.55,0.37
"329",2015-12-21,17251.62,4968.92,438.639008,2021.15,0.36
"330",2015-12-22,17417.27,5001.11,436.571991,2038.97,0.36
"331",2015-12-23,17602.61,5045.93,442.401001,2064.29,0.36
"332",2015-12-24,17552.17,5048.49,454.984985,2060.99,0.36
"333",2015-12-25,NA,NA,455.653015,NA,NA
"334",2015-12-28,17528.27,5040.99,422.278992,2056.5,0.36
"335",2015-12-29,17720.98,5107.94,432.983002,2078.36,0.36
"336",2015-12-30,17603.87,5065.85,426.619995,2063.36,0.35
"337",2015-12-31,17425.03,5007.41,430.566986,2043.94,0.2
"338",2016-01-01,NA,NA,434.334015,NA,NA
"339",2016-01-04,17148.94,4903.09,433.091003,2012.66,0.36
"340",2016-01-05,17158.66,4891.43,431.959991,2016.71,0.36
"341",2016-01-06,16906.51,4835.76,429.105011,1990.26,0.36
"342",2016-01-07,16514.1,4689.43,458.048004,1943.09,0.36
"343",2016-01-08,16346.45,4643.63,453.230011,1922.03,0.36
"344",2016-01-11,16398.57,4637.99,448.428009,1923.67,0.36
"345",2016-01-12,16516.22,4685.92,435.690002,1938.68,0.36
"346",2016-01-13,16151.41,4526.06,432.371002,1890.28,0.36
"347",2016-01-14,16379.05,4615,430.306,1921.84,0.36
"348",2016-01-15,15988.08,4488.42,364.330994,1880.33,0.36
"349",2016-01-18,NA,NA,387.167999,NA,NA
"350",2016-01-19,16016.02,4476.95,380.148987,1881.33,0.36
"351",2016-01-20,15766.74,4471.69,420.230011,1859.33,0.37
"352",2016-01-21,15882.68,4472.06,410.261993,1868.99,0.37
"353",2016-01-22,16093.51,4591.18,382.492004,1906.9,0.38
"354",2016-01-25,15885.22,4518.49,391.726013,1877.08,0.38
"355",2016-01-26,16167.23,4567.67,392.153015,1903.63,0.38
"356",2016-01-27,15944.46,4468.17,394.971985,1882.95,0.38
"357",2016-01-28,16069.64,4506.68,380.289001,1893.36,0.38
"358",2016-01-29,16466.3,4613.95,379.473999,1940.24,0.29
"359",2016-02-01,16449.18,4620.37,373.056,1939.38,0.38
"360",2016-02-02,16153.54,4516.95,374.447998,1903.03,0.38
"361",2016-02-03,16336.66,4504.24,369.949005,1912.53,0.38
"362",2016-02-04,16416.58,4509.56,389.593994,1915.45,0.38
"363",2016-02-05,16204.97,4363.14,386.549011,1880.05,0.38
"364",2016-02-08,16027.05,4283.75,373.446991,1853.44,0.38
"365",2016-02-09,16014.38,4268.76,376.028992,1852.21,0.38
"366",2016-02-10,15914.74,4283.59,381.648987,1851.86,0.38
"367",2016-02-11,15660.18,4266.84,379.653992,1829.08,0.38
"368",2016-02-12,15973.84,4337.51,384.263,1864.78,0.38
"369",2016-02-15,NA,NA,400.184998,NA,NA
"370",2016-02-16,16196.41,4435.96,407.488007,1895.58,0.38
"371",2016-02-17,16453.83,4534.06,416.321991,1926.82,0.37
"372",2016-02-18,16413.43,4487.54,422.372986,1917.83,0.38
"373",2016-02-19,16391.99,4504.43,420.785004,1917.78,0.38
"374",2016-02-22,16620.66,4570.61,437.747986,1945.5,0.38
"375",2016-02-23,16431.78,4503.58,420.735992,1921.27,0.38
"376",2016-02-24,16484.99,4542.61,424.954987,1929.8,0.38
"377",2016-02-25,16697.29,4582.2,424.544006,1951.7,0.37
"378",2016-02-26,16639.97,4590.47,432.152008,1948.05,0.37
"379",2016-02-29,16516.5,4557.95,437.696991,1932.23,0.29
"380",2016-03-01,16865.08,4689.6,435.122986,1978.35,0.36
"381",2016-03-02,16899.32,4703.42,423.989014,1986.45,0.37
"382",2016-03-03,16943.9,4707.42,421.651001,1993.4,0.37
"383",2016-03-04,17006.77,4717.02,410.938995,1999.99,0.36
"384",2016-03-07,17073.95,4708.25,414.321014,2001.76,0.36
"385",2016-03-08,16964.1,4648.82,413.971985,1979.26,0.36
"386",2016-03-09,17000.36,4674.38,414.859985,1989.26,0.36
"387",2016-03-10,16995.13,4662.16,417.131012,1989.57,0.36
"388",2016-03-11,17213.31,4748.47,421.690002,2022.19,0.36
"389",2016-03-14,17229.13,4750.28,416.437988,2019.64,0.36
"390",2016-03-15,17251.53,4728.67,416.829987,2015.93,0.37
